time (milliseconds),x,y,z
1682889339355,5.7763308391022585,8.979186527751486,20.0
1682889339360,5.63741282659689,8.827016812698814,20.0
1682889339365,5.4172624886915415,8.636609550063643,20.0
1682889339370,5.172290979328209,8.477410639022402,20.0
1682889339375,5.217795218657065,8.595940816918151,20.0
1682889339380,5.233518437021633,8.613648401535027,20.0
1682889339385,5.276284467645363,8.608994214084476,20.0
1682889339395,5.280469179820518,8.621717046650181,20.0
1682889339410,5.329175313644371,8.594236742670425,20.0
1682889339415,5.334047581958349,8.597700582643085,20.0
1682889339420,5.17942455551289,8.459944813051981,20.0
1682889339425,5.007982425323188,8.326047609941789,20.0
1682889339430,4.853134706646048,8.203032572236278,20.0
1682889339435,4.7417495816486905,8.135114761998448,20.0
1682889339440,4.648355491421945,8.076333705117044,20.0
1682889339445,4.581583390884548,8.018310648792195,20.0
1682889339450,4.601173562298212,7.907865682539962,20.0
1682889339455,4.773435248362671,8.059974094265513,20.0
1682889339460,4.842421963144039,8.121120279627458,20.0
1682889339465,4.88523972564793,8.200024377001407,20.0
1682889339470,4.903878665731007,8.21897549657054,20.0
1682889339475,4.9709893610994165,8.301297397096382,20.0
1682889339480,5.011201949750777,8.32931397369571,20.0
1682889339485,5.069164506147027,8.466939867859832,20.0
1682889339490,5.109138325235781,8.510444948556732,20.0
1682889339495,5.1995717383123985,8.64078431021198,20.0
1682889339500,5.2845656310588005,8.763291449214476,20.0
1682889339505,5.324049950588447,8.723362680801365,20.0
1682889339510,5.34842553535844,8.75707376723976,20.0
1682889339515,5.437389393000056,8.869661274868964,20.0
1682889339520,5.514328597067824,8.97371621285618,20.0
1682889339525,5.536210335982221,9.026926780474945,20.0
1682889339530,5.5568859562176085,9.077851094559769,20.0
1682889339545,5.41179786682301,8.89884321374614,20.0
1682889339550,5.40565106824474,8.915786565321094,20.0
1682889339555,5.367915946101744,8.844799322668973,20.0
1682889339560,5.259183219635793,8.769483385633452,20.0
1682889339565,5.2582392710599715,8.776192631748025,20.0
